status,date,team,final_score,first_half
Not started,23-05 19:30,"SSC Napoli , Hellas Verona", - ,( - )
Not started,23-05 19:30,"Inter , Udinese", - ,( - )
Not started,23-05 19:30,"Spezia , Roma", - ,( - )
Not started,23-05 19:30,"Cagliari , Genoa", - ,( - )
Not started,23-05 19:30,"Bologna , Juventus", - ,( - )
Not started,23-05 19:30,"Sassuolo , Lazio", - ,( - )
Not started,23-05 19:30,"Atalanta , AC Milan", - ,( - )
Not started,23-05 19:30,"Sampdoria , Parma Calcio 1913", - ,( - )
Not started,23-05 19:30,"Torino , Benevento", - ,( - )
Not started,23-05 19:30,"Crotone , Fiorentina", - ,( - )
Not started,16-05 20:45,"Juventus , Inter", - ,( - )
Not started,16-05 19:30,"Spezia , Torino", - ,( - )
Not started,16-05 19:30,"Roma , Lazio", - ,( - )
Not started,16-05 19:30,"Fiorentina , SSC Napoli", - ,( - )
Not started,16-05 19:30,"Udinese , Sampdoria", - ,( - )
Not started,16-05 19:30,"Parma Calcio 1913 , Sassuolo", - ,( - )
Not started,16-05 19:30,"Genoa , Atalanta", - ,( - )
Not started,16-05 19:30,"Hellas Verona , Bologna", - ,( - )
Not started,16-05 19:30,"AC Milan , Cagliari", - ,( - )
Not started,16-05 19:30,"Benevento , Crotone", - ,( - )
Not started,12-05 21:45,"Crotone , Hellas Verona", - ,( - )
Not started,12-05 21:45,"SSC Napoli , Udinese", - ,( - )
Not started,12-05 21:45,"Bologna , Genoa", - ,( - )
Not started,12-05 21:45,"Sassuolo , Juventus", - ,( - )
Not started,12-05 21:45,"Torino , AC Milan", - ,( - )
Not started,12-05 21:45,"Lazio , Parma Calcio 1913", - ,( - )
Not started,12-05 21:45,"Sampdoria , Spezia", - ,( - )
Not started,12-05 21:45,"Atalanta , Benevento", - ,( - )
Not started,12-05 21:45,"Cagliari , Fiorentina", - ,( - )
Not started,12-05 20:45,"Inter , Roma", - ,( - )
Not started,09-05 20:45,"Juventus , AC Milan", - ,( - )
Not started,09-05 19:30,"Hellas Verona , Torino", - ,( - )
Not started,09-05 19:30,"Inter , Sampdoria", - ,( - )
Not started,09-05 19:30,"Genoa , Sassuolo", - ,( - )
Not started,09-05 19:30,"Spezia , SSC Napoli", - ,( - )
Not started,09-05 19:30,"Parma Calcio 1913 , Atalanta", - ,( - )
Not started,09-05 19:30,"Udinese , Bologna", - ,( - )
Not started,09-05 19:30,"Fiorentina , Lazio", - ,( - )
Not started,09-05 19:30,"Roma , Crotone", - ,( - )
Not started,09-05 19:30,"Benevento , Cagliari", - ,( - )
Not started,02-05 19:30,"Hellas Verona , Spezia", - ,( - )
Not started,02-05 19:30,"Sampdoria , Roma", - ,( - )
Not started,02-05 19:30,"Torino , Parma Calcio 1913", - ,( - )
Not started,02-05 19:30,"Udinese , Juventus", - ,( - )
Not started,02-05 19:30,"Crotone , Inter", - ,( - )
Not started,02-05 19:30,"Lazio , Genoa", - ,( - )
Not started,02-05 19:30,"Bologna , Fiorentina", - ,( - )
Not started,02-05 19:30,"SSC Napoli , Cagliari", - ,( - )
Not started,02-05 19:30,"AC Milan , Benevento", - ,( - )
